"tid;""textbody"";""retweet_count"";""retweeted"";""posted"";""posting_user"""
"682713066287566848;""2015: Senate lowers Ohio s tax burden by $2 Billion. #NYE2016 https://t.co/hPcFcCfjQ8"";1;0;""2016-01-01 00:00:00"";""OhioSenateGOP"""
"682713068250492936;""Our New Year s Resolution: Work harder than ever to DEFEAT @HillaryClinton in 2016. #sayfie"";9;0;""2016-01-01 00:00:00"";""FloridaGOP"""
"682714977573191684;""RT @wvubandvoice: A little Country Roads by @WVUMarchingBand as the sun sets here in AZ. #CactusBowl https://t.co/s8Tzmka4IU"";20;0;""2016-01-01 00:00:00"";""PhilKabler"""
"682721679697555456;""Ring in the New Year with some new #TeamMarco gear! Shop now:    https://t.co/VZ4zoUJuvp https://t.co/pHbTNPS21L"";69;0;""2016-01-01 00:00:00"";""marcorubio"""
"682722293169041408;""What will LA get for the #NewYear from @JohnBelforLA? HIGHER TAXES! Watch: https://t.co/X2KsNX4RVJ"";2;0;""2016-01-01 00:00:00"";""lagop"""
"682723973449289728;""I will be on @FoxNews live"
"682724224906182658;""Readers  Choice: With  15 coming to a close and the  16 session days away"
"682724947756634113;""Happy New Year"
"682725167571705856;""Here are your top 10 Iowa political stories of 2015: Nobody tops Trump https://t.co/Gzsksu2Nxu"";2;0;""2016-01-01 00:00:00"";""jasonnobleDMR"""
"682726445848727552;""Many young people are leaving school deeply in debt for what? For the crime of trying to get an education and make it to the middle class."";1468;0;""2016-01-01 00:00:00"";""BernieSanders"""
"682738468095537152;""Remember that time Michigan played Bama and Denard wet himself? As long as we don t end up like that we re good."";0;0;""2016-01-01 00:00:00"";""IanKullgren"""
"682738575020957696;""Wonder if the yeses can imagine anything they might say could be considered hate speech. https://t.co/D19Di8xXmy"";0;0;""2016-01-01 00:00:00"";""NancyBarto"""
"682740230911229952;""Yaas https://t.co/SLil6sNqDO"";0;0;""2016-01-01 00:00:00"";""IanKullgren"""
"682740908802969603;""Oof."";0;0;""2016-01-01 00:00:00"";""IanKullgren"""
"682743201611038721;""2015: Senate makes historic investments in K-12 &amp; @OhioHigherEd. @Cliff_Hite #Education #NYE2016 https://t.co/yUUwcRkHjg"";4;0;""2016-01-01 00:00:00"";""OhioSenateGOP"""
"682743203959799809;""RETWEET if your New Year s Resolution is to elect a Republican president!"";39;0;""2016-01-01 00:00:00"";""FloridaGOP"""
"682745461707550720;""Happy Silvester!Hermes House Band COUNTRY ROADS Live in Berlin https://t.co/JW5LmXX8NH via @YouTube"";0;0;""2016-01-01 00:00:00"";""PhilKabler"""
"682745579177246720;""Hashtag Missouri  https://t.co/prEaFhzQNy"";0;0;""2016-01-01 00:00:00"";""jasonnobleDMR"""
"682746311280476160;""Want Real Leadership in 2016? Donate Today: https://t.co/tOimvg7Ln9 #leadright2016 #gop #nmpol"";0;0;""2016-01-01 00:00:00"";""NewMexicoGOP"""
"682749746243477505;""@Mike_Hixenbaugh I don t think I ve seen babies in Browns gear before."";0;0;""2016-01-01 00:00:00"";""patrickmwilson"""
"682755747516567552;""Smh."";1;0;""2016-01-01 00:00:00"";""IanKullgren"""
"682756078388445184;""RT @TheOnlyColors: Insane amount of time left. Hopeful yet"";12;0;""2016-01-01 00:00:00"";""IanKullgren"""
"682756655713357824;""Together"
"682757765090152448;""Chip in $1 before 2016 to keep the momentum going! https://t.co/qwgk4o35w8 https://t.co/zNfDr4MbL6"";252;0;""2016-01-01 00:00:00"";""HillaryClinton"""
"682758303387119616;""2015: Pres. @KeithFaber partners w/ #highered leaders to lower tuition. @OhioState @youngstownstate @ohiou #NYE2016 https://t.co/Z1d6VMik53"";5;0;""2016-01-01 00:00:00"";""OhioSenateGOP"""
"682758325901996032;""RT @CharleneLigon: Happy New Year! https://t.co/qFm4QaSO2A"";1;0;""2016-01-01 00:00:00"";""NebraskaDems"""
"682764544402440192;""HAPPY NEW YEAR &amp; THANK YOU! https://t.co/YO1Yi8QbZy https://t.co/uxUXWJ1Rbv"";3568;0;""2016-01-01 00:00:00"";""realDonaldTrump"""
"682766463183130625;""RT @noamscheiber: Ah"
"682770640995090432;""Cool"
"682771477272215552;""I mean"
"682772140869877760;""Coming soon: @Radkey at the @DMSocialClub for New Years! https://t.co/FVIPn9icA8"";0;0;""2016-01-01 00:00:00"";""jasonnobleDMR"""
"682772554537254912;""@IanKullgren I spoke too soon."";0;0;""2016-01-01 00:00:00"";""IanKullgren"""
"682772554692472833;""Treasury head: US economy better now than when Obama took office https://t.co/FJETGtwl1n"";1;0;""2016-01-01 00:00:00"";""NebraskaDems"""
"682772845408079872;""@_TonyBriscoe Hard to be proud of ending like this"
"682773215190503424;""RT @DonGonyea: Okay... This football game is brutal. When does March Madness start. Paging Tom Izzo."";4;0;""2016-01-01 00:00:00"";""IanKullgren"""
"682780920789647360;""RT @HistoryInPics: The Beatles at the EMI studios in Abbey Road"
"682782146952474624;""Radkey. https://t.co/UOvvYJBiqe"";0;0;""2016-01-01 00:00:00"";""jasonnobleDMR"""
"682786509670367232;""@BetsBarnes But wait"
